b0_iriL_all,b0_mel0_all,center_stripe_rad_all,iriLmel_density_all,mean_mel_space_all,var_mel_space_all,mel_CV_all,mean_pca_ratio_iriL_all,med_pca_ratio_iriL_all,alignment_score_all,med_cluster_size_all,mean_cluster_size_all,cluster_size_75_all,annulus_In_MB
0,59,0,0,227.432814871265,7715.94222483349,38.622586723042,NaN,NaN,0,0,0,0,10
0,56,0,0,225.679910482856,12111.5955103215,48.7649494402694,NaN,NaN,0,0,0,0,10
0,70,0,0,190.751443167747,5632.23713281166,39.3434674972359,NaN,NaN,0,0,0,0,10
0,49,0,0,229.306576185457,8909.59615179828,41.1635194644392,NaN,NaN,0,0,0,0,10
0,45,0,0,233.832641323895,11913.285174945,46.677827373578,NaN,NaN,0,0,0,0,10
0,56,0,0,210.664700375926,7660.17876981188,41.5458532339421,NaN,NaN,0,0,0,0,10
0,60,0,0,218.602164300155,9605.6212145468,44.8340808827389,NaN,NaN,0,0,0,0,10
0,54,0,0,184.45705907425,6182.62790990047,42.6276385794372,NaN,NaN,0,0,0,0,10
0,61,0,0,218.637412129384,6363.44566202256,36.4856167342321,NaN,NaN,0,0,0,0,10
0,58,0,0,213.551599256251,12067.1857196279,51.4399064678253,NaN,NaN,0,0,0,0,10
0,58,0,0,212.547890896604,8888.47502181937,44.356454855125,NaN,NaN,0,0,0,0,10
0,58,0,0,213.224610991069,10230.8982365677,47.4372551595962,NaN,NaN,0,0,0,0,10
0,64,0,0,197.554651763849,3777.62581877775,31.1115901265873,NaN,NaN,0,0,0,0,10
0,47,0,0,246.357331636784,12966.4236218004,46.2215613383182,NaN,NaN,0,0,0,0,10
0,58,0,0,230.702905051433,9224.5836328297,41.6313335953495,NaN,NaN,0,0,0,0,10
0,46,0,0,251.593273383661,13313.972411347,45.8621912179679,NaN,NaN,0,0,0,0,10
0,63,0,0,227.311280468079,3875.80531493061,27.3879791495122,NaN,NaN,0,0,0,0,10
0,59,0,0,210.239575738915,8146.89744555202,42.9320526421424,NaN,NaN,0,0,0,0,10
0,56,0,0,200.271050663957,5917.58756063084,38.4108723154694,NaN,NaN,0,0,0,0,10
0,53,0,0,212.617347160994,5678.41399732752,35.4417233410295,NaN,NaN,0,0,0,0,10
0,59,0,0,200.597357709998,6304.60350286852,39.5825420060429,NaN,NaN,0,0,0,0,10
0,65,0,0,216.210297970805,7318.54876860861,39.567272164164,NaN,NaN,0,0,0,0,10
0,51,0,0,230.386113980757,7966.60396382237,38.7418463718587,NaN,NaN,0,0,0,0,10
0,49,0,0,226.414063523208,8739.00128175887,41.2883475991829,NaN,NaN,0,0,0,0,10
0,48,0,0,242.853582034171,7842.30802652538,36.4651021554474,NaN,NaN,0,0,0,0,10
0,52,0,0,242.911835183431,8600.68290851894,38.1784060903438,NaN,NaN,0,0,0,0,10
0,65,0,0,186.227768172503,5000.99461792587,37.9737734461954,NaN,NaN,0,0,0,0,10
0,63,0,0,208.791817762712,6767.0532861178,39.3991019545404,NaN,NaN,0,0,0,0,10
0,48,0,0,207.352551677315,12912.8736453574,54.8027139903201,NaN,NaN,0,0,0,0,10
0,56,0,0,216.629621055871,12162.4737288928,50.9088301756975,NaN,NaN,0,0,0,0,10
0,48,0,0,232.472558373102,12055.5094742727,47.2303418815262,NaN,NaN,0,0,0,0,10
0,64,0,0,225.319941427084,9369.7097824645,42.9599176270161,NaN,NaN,0,0,0,0,10
0,64,0,0,223.60097511102,7855.67015894433,39.6385652930609,NaN,NaN,0,0,0,0,10
0,56,0,0,247.623134412427,7638.96206385361,35.2960381393476,NaN,NaN,0,0,0,0,10
0,67,0,0,199.845240075249,7648.74366574825,43.7624114089323,NaN,NaN,0,0,0,0,10
0,73,0,0,181.831366189082,5996.48321877519,42.5872414064469,NaN,NaN,0,0,0,0,10
0,52,0,0,198.280409371154,6017.1423134434,39.1214852767713,NaN,NaN,0,0,0,0,10
0,65,0,0,195.846326512635,6419.03658892498,40.9090595489979,NaN,NaN,0,0,0,0,10
0,52,0,0,244.709392767224,7914.77343020961,36.3553729538767,NaN,NaN,0,0,0,0,10
0,51,0,0,224.533840787963,16186.6888318861,56.6626920085536,NaN,NaN,0,0,0,0,10
0,68,0,0,195.530316363204,9660.19433553809,50.2665210466069,NaN,NaN,0,0,0,0,10
0,53,0,0,223.710825185077,10738.8408690704,46.322469464845,NaN,NaN,0,0,0,0,10
0,52,0,0,226.813492298464,9645.42802404826,43.300395856022,NaN,NaN,0,0,0,0,10
0,51,0,0,213.175060591146,11326.4121802524,49.9240472917572,NaN,NaN,0,0,0,0,10
0,56,0,0,204.374637305156,5412.68038592419,35.9980679404914,NaN,NaN,0,0,0,0,10
0,59,0,0,214.26337380281,11553.9688020832,50.1669451692618,NaN,NaN,0,0,0,0,10
0,58,0,0,231.691822875692,9964.72318966142,43.0845848928439,NaN,NaN,0,0,0,0,10
0,58,0,0,223.982445118492,9557.12993439836,43.6465342131256,NaN,NaN,0,0,0,0,10
0,59,0,0,232.501659190136,8041.53129950479,38.5694389861486,NaN,NaN,0,0,0,0,10
0,45,0,0,255.165202140844,8927.72109986511,37.0295862585678,NaN,NaN,0,0,0,0,10
0,66,0,0,184.945317210206,5628.06508758804,40.5635742856423,NaN,NaN,0,0,0,0,10
0,62,0,0,223.261966492803,8446.23241371789,41.1639240419634,NaN,NaN,0,0,0,0,10
0,65,0,0,211.425268719468,8969.83589182331,44.7955999483315,NaN,NaN,0,0,0,0,10
0,58,0,0,229.225586971938,12604.0864096361,48.9770465530989,NaN,NaN,0,0,0,0,10
0,63,0,0,200.430649213435,8380.26907129382,45.6735583769773,NaN,NaN,0,0,0,0,10
0,64,0,0,197.737766428562,6535.42675852843,40.8834325478111,NaN,NaN,0,0,0,0,10
0,68,0,0,197.220332804588,6867.89438580683,42.0203936568963,NaN,NaN,0,0,0,0,10
0,51,0,0,233.38188676898,11159.5915421958,45.2644244922931,NaN,NaN,0,0,0,0,10
0,69,0,0,196.501526160642,6672.50082105851,41.5698435677474,NaN,NaN,0,0,0,0,10
0,69,0,0,210.717154377749,6286.73030020398,37.6281201457276,NaN,NaN,0,0,0,0,10
0,56,0,0,229.318793967287,6218.89046045204,34.38878283273,NaN,NaN,0,0,0,0,10
0,60,0,0,217.971861672978,8969.42986886671,43.4492201379259,NaN,NaN,0,0,0,0,10
0,57,0,0,219.0736506317,8349.87676326719,41.7109313808891,NaN,NaN,0,0,0,0,10
0,60,0,0,209.603745728927,8745.87559298485,44.6172304138924,NaN,NaN,0,0,0,0,10
0,53,0,0,226.634391444663,8073.90667387572,39.6475219714292,NaN,NaN,0,0,0,0,10
0,51,0,0,227.316760428775,8010.79542154923,39.3737121834173,NaN,NaN,0,0,0,0,10
0,58,0,0,214.533447479189,6000.04975735851,36.1062524357023,NaN,NaN,0,0,0,0,10
0,49,0,0,211.453768474794,8690.30893722779,44.086150452182,NaN,NaN,0,0,0,0,10
